time, interval
0:5:27.37999916076660156250 ,44
0:5:28.11000061035156250000 ,43
0:5:28.83498954772949218750 ,44
0:5:29.59499931335449218750 ,44
0:5:30.34499931335449218750 ,43
0:5:31.09499931335449218750 ,43
0:5:31.82999992370605468750 ,42
0:5:32.56499862670898437500 ,40
0:5:33.28499984741210937500 ,39
0:5:34.00500106811523437500 ,39
0:5:34.70500183105468750000 ,39
0:5:35.37500000000000000000 ,39
0:5:36.02999877929687500000 ,39
0:5:36.69499969482421875000 ,44
0:5:37.38499832153320312500 ,45
0:5:38.09999847412109375000 ,45
0:5:38.83000183105468750000 ,45
0:5:39.57500076293945312500 ,45
0:5:40.33499908447265625000 ,45
0:5:41.09999847412109375000 ,45
0:5:41.87500000000000000000 ,44
0:5:42.63499832153320312500 ,44
0:5:43.38999938964843750000 ,44
0:5:44.14500045776367187500 ,44
0:5:44.88000106811523437500 ,43
0:5:45.61500167846679687500 ,42
0:5:46.33000183105468750000 ,42
0:5:47.06499862670898437500 ,42
0:5:47.78499984741210937500 ,42
0:5:48.50000000000000000000 ,42
0:5:49.21500015258789062500 ,44
0:5:49.97499847412109375000 ,43
0:5:50.75999832153320312500 ,43
0:5:51.52999877929687500000 ,42
0:5:52.27500152587890625000 ,41
0:5:53.00000000000000000000 ,40
0:5:53.70000076293945312500 ,39
0:5:54.38999938964843750000 ,39
0:5:55.06499862670898437500 ,39
0:5:55.72000122070312500000 ,39
0:5:56.37500000000000000000 ,46
0:5:57.05500030517578125000 ,48
0:5:57.78499984741210937500 ,52
0:5:58.56000137329101562500 ,53
0:5:59.36500167846679687500 ,52
0:6:0.23499999940395355225 ,50
0:6:1.13999998569488525391 ,50
0:6:2.03500008583068847656 ,48
0:6:2.91000008583068847656 ,47
0:6:3.74499988555908203125 ,44
0:6:4.55999994277954101562 ,42
0:6:5.34499979019165039062 ,42
0:6:6.07999992370605468750 ,42
0:6:6.78499984741210937500 ,42
0:6:7.48000001907348632812 ,44
0:6:8.19499969482421875000 ,42
0:6:8.90499973297119140625 ,46
0:6:9.63500022888183593750 ,43
0:6:10.35499954223632812500 ,46
0:6:11.09000015258789062500 ,44
0:6:11.83500003814697265625 ,45
0:6:12.60499954223632812500 ,45
0:6:13.37500000000000000000 ,44
0:6:14.14999961853027343750 ,44
0:6:14.91499996185302734375 ,44
0:6:15.65499973297119140625 ,44
0:6:16.39999961853027343750 ,44
0:6:17.13999938964843750000 ,43
0:6:17.87999916076660156250 ,42
0:6:18.62000083923339843750 ,42
0:6:19.34499931335449218750 ,42
0:6:20.05999946594238281250 ,41
0:6:20.76000022888183593750 ,41
0:6:21.46500015258789062500 ,41
0:6:22.15500068664550781250 ,41
0:6:22.85000038146972656250 ,44
0:6:23.55500030517578125000 ,46
0:6:24.28000068664550781250 ,47
0:6:25.02499961853027343750 ,47
0:6:25.79999923706054687500 ,45
0:6:26.60499954223632812500 ,45
0:6:27.39500045776367187500 ,43
0:6:28.18000030517578125000 ,43
0:6:28.94499969482421875000 ,42
0:6:29.67499923706054687500 ,41
0:6:30.39999961853027343750 ,41
0:6:31.11000061035156250000 ,41
0:6:31.80500030517578125000 ,41
0:6:32.48500061035156250000 ,40
0:6:33.16999816894531250000 ,40
0:6:33.85499954223632812500 ,40
0:6:34.53499984741210937500 ,39
0:6:35.20500183105468750000 ,39
0:6:35.88000106811523437500 ,39
0:6:36.54499816894531250000 ,39
0:6:37.20999908447265625000 ,39
0:6:37.87500000000000000000 ,39
0:6:38.52500152587890625000 ,39
0:6:39.18000030517578125000 ,48
0:6:39.85499954223632812500 ,48
0:6:40.59000015258789062500 ,48
0:6:41.40499877929687500000 ,48
0:6:42.20999908447265625000 ,48
0:6:43.03499984741210937500 ,45
0:6:43.84000015258789062500 ,44
0:6:44.63999938964843750000 ,42
0:6:45.40499877929687500000 ,42
0:6:46.14500045776367187500 ,42
0:6:46.86000061035156250000 ,42
0:6:47.56499862670898437500 ,42
0:6:48.26499938964843750000 ,41
0:6:48.95999908447265625000 ,39
0:6:49.67499923706054687500 ,39
0:6:50.38999938964843750000 ,38
0:6:51.08000183105468750000 ,37
0:6:51.74499893188476562500 ,37
0:6:52.38000106811523437500 ,37
0:6:53.00999832153320312500 ,37
0:6:53.63000106811523437500 ,37
0:6:54.25999832153320312500 ,42
0:6:54.91500091552734375000 ,54
0:6:55.62500000000000000000 ,57
0:6:56.43500137329101562500 ,54
0:6:57.29000091552734375000 ,50
0:6:58.20000076293945312500 ,48
0:6:59.15499877929687500000 ,48
0:7:0.11500000208616256714 ,46
0:7:1.01999998092651367188 ,44
0:7:1.86500000953674316406 ,43
0:7:2.67000007629394531250 ,42
0:7:3.44000005722045898438 ,41
0:7:4.17999982833862304688 ,41
0:7:4.90500020980834960938 ,41
0:7:5.60500001907348632812 ,41
0:7:6.29500007629394531250 ,41
0:7:6.97499990463256835938 ,42
0:7:7.66499996185302734375 ,41
0:7:8.35999965667724609375 ,42
0:7:9.06499958038330078125 ,42
0:7:9.77999973297119140625 ,42
0:7:10.51000022888183593750 ,42
0:7:11.23499965667724609375 ,42
0:7:11.94999980926513671875 ,42
0:7:12.64999961853027343750 ,42
0:7:13.34500026702880859375 ,41
0:7:14.04500007629394531250 ,41
0:7:14.74499988555908203125 ,41
0:7:15.46000003814697265625 ,40
0:7:16.15999984741210937500 ,39
0:7:16.85000038146972656250 ,39
0:7:17.53499984741210937500 ,39
0:7:18.20499992370605468750 ,39
0:7:18.87000083923339843750 ,39
0:7:19.53000068664550781250 ,43
0:7:20.22999954223632812500 ,43
0:7:20.95499992370605468750 ,43
0:7:21.70000076293945312500 ,42
0:7:22.43000030517578125000 ,41
0:7:23.16500091552734375000 ,41
0:7:23.90500068664550781250 ,40
0:7:24.62500000000000000000 ,40
0:7:25.34000015258789062500 ,40
0:7:26.03000068664550781250 ,40
0:7:26.70499992370605468750 ,39
0:7:27.37999916076660156250 ,39
0:7:28.05999946594238281250 ,39
0:7:28.72999954223632812500 ,39
0:7:29.38500022888183593750 ,39
0:7:30.04500007629394531250 ,38
0:7:30.70499992370605468750 ,37
0:7:31.36499977111816406250 ,37
0:7:32.01499938964843750000 ,37
0:7:32.65000152587890625000 ,37
0:7:33.27500152587890625000 ,37
0:7:33.90000152587890625000 ,42
0:7:34.53499984741210937500 ,42
0:7:35.19499969482421875000 ,42
0:7:35.86500167846679687500 ,42
0:7:36.56499862670898437500 ,42
0:7:37.27000045776367187500 ,42
0:7:37.99000167846679687500 ,41
0:7:38.70000076293945312500 ,41
0:7:39.40000152587890625000 ,41
0:7:40.08499908447265625000 ,41
0:7:40.77000045776367187500 ,41
0:7:41.46500015258789062500 ,41
0:7:42.15499877929687500000 ,41
0:7:42.86500167846679687500 ,41
0:7:43.57500076293945312500 ,39
0:7:44.25999832153320312500 ,39
0:7:44.92499923706054687500 ,39
0:7:45.57500076293945312500 ,39
0:7:46.20000076293945312500 ,40
0:7:46.85499954223632812500 ,39
0:7:47.50500106811523437500 ,39
0:7:48.18999862670898437500 ,39
0:7:48.86500167846679687500 ,39
0:7:49.52999877929687500000 ,37
0:7:50.18000030517578125000 ,36
0:7:50.81000137329101562500 ,36
0:7:51.41999816894531250000 ,36
0:7:52.02500152587890625000 ,36
0:7:52.62500000000000000000 ,36
0:7:53.22499847412109375000 ,36
0:7:53.83499908447265625000 ,40
0:7:54.48500061035156250000 ,42
0:7:55.16500091552734375000 ,41
0:7:55.86999893188476562500 ,41
0:7:56.57500076293945312500 ,41
0:7:57.27000045776367187500 ,41
0:7:57.96500015258789062500 ,41
0:7:58.66999816894531250000 ,41
0:7:59.37500000000000000000 ,41
0:8:0.07000000029802322388 ,39
0:8:0.75499999523162841797 ,38
0:8:1.41499996185302734375 ,38
0:8:2.04999995231628417969 ,38
0:8:2.67000007629394531250 ,42
0:8:3.31999993324279785156 ,42
0:8:4.02500009536743164062 ,42
0:8:4.73500013351440429688 ,41
0:8:5.44000005722045898438 ,40
0:8:6.13999986648559570312 ,40
0:8:6.82499980926513671875 ,40
0:8:7.50000000000000000000 ,40
0:8:8.17500019073486328125 ,40
0:8:8.84500026702880859375 ,42
0:8:9.52999973297119140625 ,41
0:8:10.22000026702880859375 ,42
0:8:10.92000007629394531250 ,42
0:8:11.64000034332275390625 ,41
0:8:12.35000038146972656250 ,41
0:8:13.05500030517578125000 ,41
0:8:13.74499988555908203125 ,41
0:8:14.43500041961669921875 ,41
0:8:15.13000011444091796875 ,41
0:8:15.82499980926513671875 ,42
0:8:16.52499961853027343750 ,42
0:8:17.22999954223632812500 ,42
0:8:17.94499969482421875000 ,42
0:8:18.64999961853027343750 ,42
0:8:19.36000061035156250000 ,42
0:8:20.07500076293945312500 ,42
0:8:20.79000091552734375000 ,48
0:8:21.54000091552734375000 ,45
0:8:22.28000068664550781250 ,48
0:8:23.06999969482421875000 ,48
0:8:23.87500000000000000000 ,48
0:8:24.68000030517578125000 ,45
0:8:25.47500038146972656250 ,45
0:8:26.26000022888183593750 ,43
0:8:27.02499961853027343750 ,43
0:8:27.78000068664550781250 ,43
0:8:28.50499916076660156250 ,43
0:8:29.22999954223632812500 ,43
0:8:29.95000076293945312500 ,43
0:8:30.67499923706054687500 ,43
0:8:31.38500022888183593750 ,44
0:8:32.13999938964843750000 ,44
0:8:32.87500000000000000000 ,44
0:8:33.61000061035156250000 ,44
0:8:34.34500122070312500000 ,44
0:8:35.09000015258789062500 ,44
0:8:35.81499862670898437500 ,47
0:8:36.56499862670898437500 ,46
0:8:37.29999160766601562500 ,46
0:8:38.06000137329101562500 ,45
0:8:38.84999847412109375000 ,45
0:8:39.63499832153320312500 ,45
0:8:40.41500091552734375000 ,44
0:8:41.18000030517578125000 ,44
0:8:41.93000030517578125000 ,44
0:8:42.66500091552734375000 ,44
0:8:43.40499877929687500000 ,44
0:8:44.15499877929687500000 ,44
0:8:44.90000152587890625000 ,43
0:8:45.63999938964843750000 ,43
0:8:46.37500000000000000000 ,43
0:8:47.09999847412109375000 ,43
0:8:47.82500076293945312500 ,43
0:8:48.52999877929687500000 ,48
0:8:49.25500106811523437500 ,43
0:8:49.97999954223632812500 ,48
0:8:50.72499847412109375000 ,48
0:8:51.52999877929687500000 ,48
0:8:52.34000015258789062500 ,46
0:8:53.15499877929687500000 ,45
0:8:53.96500015258789062500 ,45
0:8:54.74000167846679687500 ,45
0:8:55.50500106811523437500 ,45
0:8:56.25000000000000000000 ,46
0:8:57.00000000000000000000 ,45
0:8:57.75500106811523437500 ,46
0:8:58.52999877929687500000 ,46
0:8:59.31999969482421875000 ,44
0:9:0.09499999880790710449 ,43
0:9:0.85500001907348632812 ,43
0:9:1.59000003337860107422 ,43
0:9:2.31500005722045898438 ,43
0:9:3.03500008583068847656 ,43
0:9:3.77999997138977050781 ,44
0:9:4.51000022888183593750 ,45
0:9:5.26999998092651367188 ,45
0:9:6.03999996185302734375 ,44
0:9:6.80000019073486328125 ,45
0:9:7.57999992370605468750 ,44
0:9:8.34000015258789062500 ,44
0:9:9.08500003814697265625 ,44
0:9:9.82499980926513671875 ,43
0:9:10.56000041961669921875 ,42
0:9:11.29498958587646484375 ,42
0:9:12.02000045776367187500 ,42
0:9:12.73499965667724609375 ,42
0:9:13.44999980926513671875 ,47
0:9:14.19999980926513671875 ,45
0:9:14.94499969482421875000 ,46
0:9:15.72500038146972656250 ,45
